ID,source,source_language,target,target_language,x-context-pre,x-context-post
335,"Countries most comfortable making purchases in English are Egypt (85%), Indonesia (78%), and China (78%), while those who were least comfortable are Japan (34%), France (42%), and Germany (43%).",en,"Los países que se sienten más cómodos realizando compras en inglés son Egipto (85 %), Indonesia (78 %) y China (78 %), mientras que los que se sienten menos cómodos son Japón (34 %), Francia (42 %) y Alemania (43 %).",es,"<seg>Countries that most preferred to buy in their native language are France (61%), Turkey (61%), and Germany (58%).</seg>",<seg>Where do you sell?</seg>
336,Where do you sell?,en,¿Dónde vende?,es,"<seg>Countries most comfortable making purchases in English are Egypt (85%), Indonesia (78%), and China (78%), while those who were least comfortable are Japan (34%), France (42%), and Germany (43%).</seg>",<seg>Which markets would you like to target?</seg>
337,Which markets would you like to target?,en,¿A qué mercados le gustaría dirigirse?,es,<seg>Where do you sell?</seg>,<seg>Where would you like to sell more?</seg>
338,Where would you like to sell more?,en,¿Dónde le gustaría vender más?,es,<seg>Which markets would you like to target?</seg>,<seg>Localization: the bridge between cultures</seg>
339,Localization: the bridge between cultures,en,Localización: el puente entre culturas,es,<seg>Where would you like to sell more?</seg>,<seg>Localization brings an unprecedented perspective to translation.</seg>
340,Localization brings an unprecedented perspective to translation.,en,La localización aporta una perspectiva sin precedentes a la traducción.,es,<seg>Localization: the bridge between cultures</seg>,<seg>It is a process that respects the culture of each country.</seg>
341,It is a process that respects the culture of each country.,en,Es un proceso que respeta la cultura de cada país.,es,<seg>Localization brings an unprecedented perspective to translation.</seg>,"<seg>Anyone who speaks two languages can translate, but only a professional will have the ability to grasp the subtle relationships between words.</seg>"
342,"Anyone who speaks two languages can translate, but only a professional will have the ability to grasp the subtle relationships between words.",en,"Una persona que hable dos idiomas podrá traducir, pero solo un profesional tendrá la capacidad de comprender las sutiles relaciones entre las palabras.",es,<seg>It is a process that respects the culture of each country.</seg>,<seg>A true localization expert knows the customs and traditions associated with a language and its culture and is able to perceive these more implicit nuances.</seg>
343,A true localization expert knows the customs and traditions associated with a language and its culture and is able to perceive these more implicit nuances.,en,"Un verdadero experto en localización conoce las costumbres y tradiciones asociadas a un idioma y su cultura, y es capaz de percibir los matices más implícitos.",es,"<seg>Anyone who speaks two languages can translate, but only a professional will have the ability to grasp the subtle relationships between words.</seg>",<seg>Localization implies a deep understanding of the devices that govern the source and target culture.</seg>
344,Localization implies a deep understanding of the devices that govern the source and target culture.,en,"La localización implica una comprensión profunda de los mecanismos que rigen la cultura de origen y destino, y",es,<seg>A true localization expert knows the customs and traditions associated with a language and its culture and is able to perceive these more implicit nuances.</seg>,<seg>Localization adds value to translation to definitely make your content local.</seg>
345,Localization adds value to translation to definitely make your content local.,en,agrega valor a la traducción para localizar el contenido.,es,<seg>Localization implies a deep understanding of the devices that govern the source and target culture.</seg>,
346,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Subject line:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Asunto:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,es,,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Increase your international sales by making your content local in every market<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>
347,Are you available for a brief phone call to discuss how we are helping other Pro AV companies improve the process of making their content local in every market?,en,¿Está disponible para una breve llamada telefónica en la que le explicaremos cómo estamos ayudando a otras empresas de sistemas audiovisuales de uso comercial a mejorar el proceso de localización de su contenido en todos los mercados?,es,"<seg>I don't know if those are areas that you want to improve, and that is why I am reaching out.</seg>","<seg>In the meantime, I invite you to check out this short article on how to make your content local:</seg>"
348,"Best,",en,"Atentamente,",es,<seg>Link de l’article</seg>,<seg>[Email Signature]</seg>
349,$contact_headeremail_c,en,$contact_headeremail_c,es,<seg>Increase your international sales<it pos='end'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</it></seg>,"<seg>The reason for the email is that we work with leading LED screen manufacturers, international Pro AV distributors, and intercom system specialists to help them to make their content local, be it marketing or technical.</seg>"
350,Are you available for a brief phone call to discuss how we are helping other Pro AV companies improve the process of making their content local in every market?,en,¿Está disponible para una breve llamada telefónica en la que le explicaremos cómo estamos ayudando a otras empresas de sistemas audiovisuales de uso comercial a mejorar el proceso de localización de su contenido en todos los mercados?,es,"<seg>I was wondering if we might be able to assist you as well, which is why I am reaching out.</seg>","<seg>Best,</seg>"
351,"Best,",en,"Atentamente,",es,<seg>Are you available for a brief phone call to discuss how we are helping other Pro AV companies improve the process of making their content local in every market?</seg>,<seg>[Email Signature]</seg>
352,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Subject line:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Asunto:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,es,,<seg><it pos='begin'>&lt;rpr id=&quot;1&quot;&gt;</it> Make your content local in every market:</seg>
353,$contact_headeremail_c,en,$contact_headeremail_c,es,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Do your local partners ask for content in their own languages?<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg>I am trying to figure out if we might be able to help you in the same way that we have been able to help our other clients.</seg>
354,"Best,",en,"Atentamente,",es,<seg>Let me know if you are interested in putting a few minutes on the calendar.</seg>,<seg>[Email Signature]</seg>
355,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Subject line:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Asunto:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,es,,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Making communication easy in every market<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>
356,$contact_headeremail_c,en,$contact_headeremail_c,es,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Making communication easy in every market<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>,"<seg>At iDISC, we provide multilingual and multicultural language services, including:</seg>"
357,Are you available for a brief phone call to discuss how we are helping other Pro AV companies improve the process of making their content local in every market?,en,¿Está disponible para una breve llamada telefónica en la que le explicaremos cómo estamos ayudando a otras empresas de sistemas audiovisuales de uso comercial a mejorar el proceso de localización de su contenido en todos los mercados?,es,"<seg>We have offices in Spain, the US, and Latin America, covering European and American time zones.</seg>","<seg>Best,</seg>"
358,"Best,",en,"Atentamente,",es,<seg>Are you available for a brief phone call to discuss how we are helping other Pro AV companies improve the process of making their content local in every market?</seg>,
359,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Subject line:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,en,<bpt i='1'><rpr id=&quot;0&quot;></bpt><bpt i='2' type='bold'>{}</bpt>Asunto:<ept i='2'>{}</ept><ept i='1'></rpr id=&quot;0&quot; transform=&quot;close&quot;></ept>,es,,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Checking In<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>
360,$contact_headeremail_c,en,$contact_headeremail_c,es,<seg><bpt i='1'>&lt;rpr id=&quot;1&quot;&gt;</bpt> Checking In<ept i='1'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>,<seg>I hope all is well.</seg>
361,Increase their international sales by making their content local in every market,en,Incrementar las ventas internacionales mediante la localización de su contenido en todos los mercados.,es,<seg>The reason I am trying to connect with you is that we help Pro AV companies to:</seg>,<seg>Reduce risks by working with an agency that knows the Pro AV industry and has dedicated translation teams</seg>
362,Reduce internal time and costs spent on translating or managing translations,en,Disminuir el tiempo interno y los costes dedicados a traducir o gestionar traducciones.,es,<seg>Improve their ability to govern and standardize their branding around the globe</seg>,"<seg>If I don't hear back from you, I will assume that I haven’t reached out to the right person or that you aren’t interested in making these improvements and I will close the file.</seg>"
363,"Best,",en,"Atentamente,",es,"<seg>If you think I should be contacting someone else regarding this, I would greatly appreciate it if you could point me in the right direction.</seg>",<seg>[Email Signature]</seg>
364,<bpt i='1' type='bold'>{}</bpt>Marketing-Specialized Translation Services<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Servicios de traducción especializada en marketing<ept i='1'>{}</ept>,es,,"<seg><bpt i='1' type='italic'>{}</bpt>“[Your] Marketing strategy will impact every piece of your business and it should be tied to every piece of your business.” — Brandon Andersen, Chief Strategist at Ceralytics<ept i='1'>{}</ept></seg>"
365,Marketing is a must in today’s businesses.,en,El <bpt i='1' type='italic'>{}</bpt>marketing<ept i='1'>{}</ept> es obligatorio en los negocios de hoy en día.,es,"<seg><bpt i='1' type='italic'>{}</bpt>“[Your] Marketing strategy will impact every piece of your business and it should be tied to every piece of your business.” — Brandon Andersen, Chief Strategist at Ceralytics<ept i='1'>{}</ept></seg>","<seg>It is even more important for businesses with an international presence, as their brand and content should feel local in every market.</seg>"
366,"It is even more important for businesses with an international presence, as their brand and content should feel local in every market.",en,"Para las empresas con presencia internacional, es incluso más importante, ya que su marca y contenido deben gozar de un aspecto local en todos los mercados.",es,<seg>Marketing is a must in today’s businesses.</seg>,"<seg>To ensure that this truly happens, marketing translators do more than translate or even localize, they often have to transcreate.</seg>"
367,"To ensure that this truly happens, marketing translators do more than translate or even localize, they often have to transcreate.",en,"Para garantizar que esto ocurra, los traductores de <bpt i='1' type='italic'>{}</bpt>marketing<ept i='1'>{}</ept> no solo se dedican a traducir o incluso localizar; a menudo, deben transcrear.",es,"<seg>It is even more important for businesses with an international presence, as their brand and content should feel local in every market.</seg>","<seg>Transcreation requires full proficiency of the language and the culture, but also of the emotions a particular brand seeks to provoke in their audience.</seg>"
368,"Transcreation requires full proficiency of the language and the culture, but also of the emotions a particular brand seeks to provoke in their audience.",en,"La transcreación requiere un dominio excelente del idioma y la cultura, pero también de las emociones que la marca en particular trata de despertar en su público.",es,"<seg>To ensure that this truly happens, marketing translators do more than translate or even localize, they often have to transcreate.</seg>",<seg>It is a complex mission that only the best translation professionals can perform successfully.</seg>
369,It is a complex mission that only the best translation professionals can perform successfully.,en,Se trata de un cometido complejo que solo los mejores profesionales de traducción pueden desempeñar con éxito.,es,"<seg>Transcreation requires full proficiency of the language and the culture, but also of the emotions a particular brand seeks to provoke in their audience.</seg>",<seg>Having a marketing-specialized translation partner who really understands your brand and who knows how to make it local is crucial for your business. iDISC is the perfect match.</seg>
370,Our specialized team of translators and project managers has been helping companies to:,en,Nuestro equipo de gestores de proyectos y traductores especializados ayuda a las empresas a:,es,<seg>Having a marketing-specialized translation partner who really understands your brand and who knows how to make it local is crucial for your business. iDISC is the perfect match.</seg>,"<seg>Increase international sales by making content local, in every market</seg>"
371,"Increase international sales by making content local, in every market",en,incrementar las ventas internacionales mediante la localización de su contenido en todos los mercados;,es,<seg>Our specialized team of translators and project managers has been helping companies to:</seg>,<seg>Improve the ability to control and standardize branding around the globe</seg>
372,Improve the ability to control and standardize branding around the globe,en,mejorar la capacidad de dirigir y estandarizar su marca en todo el mundo;,es,"<seg>Increase international sales by making content local, in every market</seg>",<seg>Reduce internal time and costs spent on translations</seg>
373,Reduce internal time and costs spent on translations,en,reducir el tiempo interno y los costes dedicados a traducir;,es,<seg>Improve the ability to control and standardize branding around the globe</seg>,<seg>Eliminate problems with formats and layouts</seg>
374,Eliminate problems with formats and layouts,en,resolver los problemas de formato y diseño;,es,<seg>Reduce internal time and costs spent on translations</seg>,<seg>Decrease the total cost by recycling previously translated content</seg>
375,Decrease the total cost by recycling previously translated content,en,reducir los costes totales reciclando el contenido que ya se ha traducido.,es,<seg>Eliminate problems with formats and layouts</seg>,"<seg>World-leading IT companies, online travel agencies and top brands in the industrial and life science sectors are already benefiting from our services.</seg>"
376,"World-leading IT companies, online travel agencies and top brands in the industrial and life science sectors are already benefiting from our services.",en,"Las empresas líderes internacionales de TI, agencias de viajes en línea y las marcas principales de los sectores industriales y ciencias biológicas ya se benefician de nuestros servicios.",es,<seg>Decrease the total cost by recycling previously translated content</seg>,<seg>Lean in and join us!</seg>
377,Lean in and join us!,en,"Adelante, contacta con nosotros. ¡Nos encantará ayudarte!",es,"<seg>World-leading IT companies, online travel agencies and top brands in the industrial and life science sectors are already benefiting from our services.</seg>",<seg>Call-to-Action button</seg>
378,Call-to-Action button,en,Botón de llamada a la acción,es,<seg>Lean in and join us!</seg>,
379,"<bpt i='1' type='italic'>{}</bpt>“[Your] Marketing strategy will impact every piece of your business and it should be tied to every piece of your business.” — Brandon Andersen, Chief Strategist at Ceralytics<ept i='1'>{}</ept>",en,"<bpt i='1' type='italic'>{}</bpt>""[Tu] estrategia de <ept i='1'>{}</ept>marketing<bpt i='2' type='italic'>{}</bpt> ejerce un impacto sobre todas las áreas de tu negocio, por lo que debe estar vinculada a todas ellas"" — Brandon Andersen, estratega jefe de Ceralytics<ept i='2'>{}</ept>",es,<seg><bpt i='1' type='bold'>{}</bpt>Marketing-Specialized Translation Services<ept i='1'>{}</ept></seg>,<seg>Marketing is a must in today’s businesses.</seg>
380,Having a marketing-specialized translation partner who really understands your brand and who knows how to make it local is crucial for your business. iDISC is the perfect match.,en,Contar con un socio de traducción especializada en <bpt i='1' type='italic'>{}</bpt>marketing<ept i='1'>{}</ept> que entiende de verdad tu marca y sabe cómo localizarla es esencial para tu empresa. iDISC es tu compañero ideal.,es,<seg>It is a complex mission that only the best translation professionals can perform successfully.</seg>,<seg>Our specialized team of translators and project managers has been helping companies to:</seg>
381,<bpt i='1' type='bold'>{}</bpt>Manufacturing-Specialized Translation Services<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Servicios de traducción especializada en el sector manufacturero<ept i='1'>{}</ept>,es,,<seg><bpt i='1' type='italic'>{}</bpt><it pos='begin'>&lt;rpr id=&quot;0&quot;&gt;</it>“People are the key to ensuring greater efficiency and shaping operations for the future.<ept i='1'>{}</ept></seg>
382,<it pos='begin'><rpr id=&quot;0&quot;></it><bpt i='1' type='italic'>{}</bpt>“People are the key to ensuring greater efficiency and shaping operations for the future.<ept i='1'>{}</ept>,en,"<it pos='begin'><rpr id=&quot;0&quot;></it><bpt i='1' type='italic'>{}</bpt>""Las personas son la clave para garantizar una mayor eficiencia y dar forma a las operaciones para el futuro.<ept i='1'>{}</ept>",es,<seg><bpt i='1' type='bold'>{}</bpt>Manufacturing-Specialized Translation Services<ept i='1'>{}</ept></seg>,"<seg><bpt i='1' type='italic'>{}</bpt>Ownership should be in the hands of the operations team, i.e. the end users.” — <ept i='1'>{}</ept><it pos='end'>&lt;/rpr id=&quot;0&quot; transform=&quot;close&quot;&gt;</it><bpt i='2'>&lt;rpr id=&quot;1&quot;&gt;</bpt>Mike Bristow, COO for manufacturing logistics at DHL<ept i='2'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>"
383,<it pos='begin'><rpr id=&quot;0&quot;></it><bpt i='1' type='italic'>{}</bpt>Source:<ept i='1'>{}</ept>,en,<it pos='begin'><rpr id=&quot;0&quot;></it><bpt i='1' type='italic'>{}</bpt>Fuente:<ept i='1'>{}</ept>,es,"<seg><bpt i='1' type='italic'>{}</bpt>Ownership should be in the hands of the operations team, i.e. the end users.” — <ept i='1'>{}</ept><it pos='end'>&lt;/rpr id=&quot;0&quot; transform=&quot;close&quot;&gt;</it><bpt i='2'>&lt;rpr id=&quot;1&quot;&gt;</bpt>Mike Bristow, COO for manufacturing logistics at DHL<ept i='2'>&lt;/rpr id=&quot;1&quot; transform=&quot;close&quot;&gt;</ept></seg>",<seg><bpt i='1' type='italic'>{}</bpt>The Manufacturer (<bpt i='2' type='ulined'>{}</bpt><ept i='1'>{}</ept><it pos='end'>&lt;/rpr id=&quot;0&quot; transform=&quot;close&quot;&gt;</it><bpt i='3'>&lt;hlnk id=&quot;rId5&quot; history=&quot;1&quot; fileName=&quot;document.xml&quot;&gt;</bpt><bpt i='4'>&lt;rpr id=&quot;2&quot;&gt;</bpt>https://www.themanufacturer.com/articles/manufacturing-leaders-summit-great-things-happen-when-logistics-and-technology-collide/<ept i='2'>{}</ept><ept i='4'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept><ept i='3'>&lt;/hlnk&gt;</ept>)</seg>
384,<bpt i='1' type='italic'>{}</bpt>The Manufacturer (<ept i='1'>{}</ept><it pos='end'></rpr id=&quot;0&quot; transform=&quot;close&quot;></it><bpt i='2'><hlnk id=&quot;rId5&quot; history=&quot;1&quot; fileName=&quot;document.xml&quot;></bpt><bpt i='3'><rpr id=&quot;2&quot;></bpt><bpt i='4' type='ulined'>{}</bpt>https://www.themanufacturer.com/articles/manufacturing-leaders-summit-great-things-happen-when-logistics-and-technology-collide/<ept i='4'>{}</ept><ept i='3'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept><ept i='2'></hlnk></ept>),en,<bpt i='1' type='italic'>{}</bpt>The Manufacturer (<ept i='1'>{}</ept><it pos='end'></rpr id=&quot;0&quot; transform=&quot;close&quot;></it><bpt i='2'><hlnk id=&quot;rId5&quot; history=&quot;1&quot; fileName=&quot;document.xml&quot;></bpt><bpt i='3'><rpr id=&quot;2&quot;></bpt><bpt i='4' type='ulined'>{}</bpt>https://www.themanufacturer.com/articles/manufacturing-leaders-summit-great-things-happen-when-logistics-and-technology-collide/<ept i='4'>{}</ept><ept i='3'></rpr id=&quot;2&quot; transform=&quot;close&quot;></ept><ept i='2'></hlnk></ept>),es,<seg><bpt i='1' type='italic'>{}</bpt><it pos='begin'>&lt;rpr id=&quot;0&quot;&gt;</it>Source:<ept i='1'>{}</ept></seg>,<seg>Global manufacturing faces an exciting challenge.</seg>
385,Global manufacturing faces an exciting challenge.,en,La manufactura global se enfrenta a un desafío emocionante.,es,<seg><bpt i='1' type='italic'>{}</bpt>The Manufacturer (<bpt i='2' type='ulined'>{}</bpt><ept i='1'>{}</ept><it pos='end'>&lt;/rpr id=&quot;0&quot; transform=&quot;close&quot;&gt;</it><bpt i='3'>&lt;hlnk id=&quot;rId5&quot; history=&quot;1&quot; fileName=&quot;document.xml&quot;&gt;</bpt><bpt i='4'>&lt;rpr id=&quot;2&quot;&gt;</bpt>https://www.themanufacturer.com/articles/manufacturing-leaders-summit-great-things-happen-when-logistics-and-technology-collide/<ept i='2'>{}</ept><ept i='4'>&lt;/rpr id=&quot;2&quot; transform=&quot;close&quot;&gt;</ept><ept i='3'>&lt;/hlnk&gt;</ept>)</seg>,"<seg>The implementation of the latest trends like IoT, AI and hyper-personalization requires an extra effort from manufacturers.</seg>"
386,"The implementation of the latest trends like IoT, AI and hyper-personalization requires an extra effort from manufacturers.",en,"La implementación de las tendencias más recientes, como el IdT, la IA y la hiperpersonalización, requieren un esfuerzo extra por parte de los fabricantes.",es,<seg>Global manufacturing faces an exciting challenge.</seg>,"<seg>At the latest Manufacturing Leaders’ Summit, Mike Bristow predicted that, based on DHL explorations, there will be fewer humans doing repetitive tasks.</seg>"
387,"At the latest Manufacturing Leaders’ Summit, Mike Bristow predicted that, based on DHL explorations, there will be fewer humans doing repetitive tasks.",en,"En la última Manufacturing Leaders' Summit, Mike Bristow predijo que, según las investigaciones de DHL, cada vez habrá menos personas realizando tareas repetitivas.",es,"<seg>The implementation of the latest trends like IoT, AI and hyper-personalization requires an extra effort from manufacturers.</seg>","<seg>Instead, people will spend more time building strategies and shaping the future of operations.</seg>"
388,"Instead, people will spend more time building strategies and shaping the future of operations.",en,"Por el contrario, estas dedicarán más tiempo a desarrollar estrategias y modelar las futuras operaciones.",es,"<seg>At the latest Manufacturing Leaders’ Summit, Mike Bristow predicted that, based on DHL explorations, there will be fewer humans doing repetitive tasks.</seg>","<seg>To ensure that a global level is reached successfully, translation is essential.</seg>"
389,"To ensure that a global level is reached successfully, translation is essential.",en,"Para asegurar la consecución de un nivel global, la traducción es esencial.",es,"<seg>Instead, people will spend more time building strategies and shaping the future of operations.</seg>","<seg>Specialized translation for the manufacturing industry has always required a deep technical background, but now it goes a step further.</seg>"
390,"Specialized translation for the manufacturing industry has always required a deep technical background, but now it goes a step further.",en,"La traducción especializada en el sector manufacturero siempre ha requerido amplios conocimientos técnicos, pero ahora va un paso más allá.",es,"<seg>To ensure that a global level is reached successfully, translation is essential.</seg>",<seg>Change in technology has never happened so fast and manufacturing-specialized translators have to keep up to date in all sorts of new complex technology trends.</seg>
391,Change in technology has never happened so fast and manufacturing-specialized translators have to keep up to date in all sorts of new complex technology trends.,en,"Los cambios tecnológicos nunca se habían sucedido con tanta rapidez, y los traductores especializados en este sector deben mantenerse al día de toda suerte de nuevas y complejas tendencias tecnológicas.",es,"<seg>Specialized translation for the manufacturing industry has always required a deep technical background, but now it goes a step further.</seg>",<seg>It is the only way to deliver the best quality.</seg>
392,It is the only way to deliver the best quality.,en,Es la única forma de ofrecer la mejor calidad.,es,<seg>Change in technology has never happened so fast and manufacturing-specialized translators have to keep up to date in all sorts of new complex technology trends.</seg>,"<seg>Having a manufacturing-specialized translation partner who really understands the latest features of your technology is crucial for your business, and iDISC is the perfect match.</seg>"
393,"Having a manufacturing-specialized translation partner who really understands the latest features of your technology is crucial for your business, and iDISC is the perfect match.",en,"Contar con un socio de traducción especializada en el sector manufacturero que entiende de verdad las características más nuevas de la tecnología es esencial para la empresa, y en eso nadie supera a iDISC.",es,<seg>It is the only way to deliver the best quality.</seg>,<seg>Our specialized team of translators and project managers has been helping manufacturers to:</seg>
394,Our specialized team of translators and project managers has been helping manufacturers to:,en,Nuestro equipo de gestores de proyectos y traductores especializados ayuda a los fabricantes a:,es,"<seg>Having a manufacturing-specialized translation partner who really understands the latest features of your technology is crucial for your business, and iDISC is the perfect match.</seg>","<seg>Increase international sales by making content local, in every market</seg>"
395,"Increase international sales by making content local, in every market",en,incrementar las ventas internacionales mediante la localización del contenido en todos los mercados;,es,<seg>Our specialized team of translators and project managers has been helping manufacturers to:</seg>,<seg>Reduce risks by working with an agency that knows the manufacturing industry and has dedicated translation teams</seg>
396,Reduce risks by working with an agency that knows the manufacturing industry and has dedicated translation teams,en,reducir los riesgos trabajando con una agencia que conoce el sector manufacturero y dispone de equipos de traducción específicos;,es,"<seg>Increase international sales by making content local, in every market</seg>",<seg>Reduce internal time and costs spent on translations</seg>
397,Reduce internal time and costs spent on translations,en,reducir el tiempo interno y los costes de las traducciones;,es,<seg>Reduce risks by working with an agency that knows the manufacturing industry and has dedicated translation teams</seg>,<seg>Eliminate problems with formats and layouts</seg>
398,Decrease the total cost by recycling previously translated content,en,reducir los costes totales reciclando el contenido ya traducido con anterioridad;,es,<seg>Eliminate problems with formats and layouts</seg>,<seg>Ensure the translation is ready when needed</seg>
399,Ensure the translation is ready when needed,en,garantizar que la traducción esté lista cuando se necesite.,es,<seg>Decrease the total cost by recycling previously translated content</seg>,"<seg>Top industrial machinery brands from hospitality, construction, and packaging, among other sectors are already benefiting from our services.</seg>"
400,"Top industrial machinery brands from hospitality, construction, and packaging, among other sectors are already benefiting from our services.",en,"Las principales marcas de maquinaria industrial, desde la hostelería y la construcción hasta el embalaje, entre otros sectores, ya se benefician de nuestros servicios.",es,<seg>Ensure the translation is ready when needed</seg>,<seg>Lean in and join us!</seg>
401,"<bpt i='1' type='italic'>{}</bpt>Ownership should be in the hands of the operations team, i.e. the end users.” — <ept i='1'>{}</ept><it pos='end'></rpr id=&quot;0&quot; transform=&quot;close&quot;></it><bpt i='2'><rpr id=&quot;1&quot;></bpt>Mike Bristow, COO for manufacturing logistics at DHL<ept i='2'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept>",en,"<bpt i='1' type='italic'>{}</bpt>La propiedad debería estar en manos del equipo de operaciones, es decir, el usuario final"" — <ept i='1'>{}</ept><it pos='end'></rpr id=&quot;0&quot; transform=&quot;close&quot;></it><bpt i='2'><rpr id=&quot;1&quot;></bpt>Mike Bristow, director de operaciones de logística de manufactura en DHL<ept i='2'></rpr id=&quot;1&quot; transform=&quot;close&quot;></ept>",es,<seg><bpt i='1' type='italic'>{}</bpt><it pos='begin'>&lt;rpr id=&quot;0&quot;&gt;</it>“People are the key to ensuring greater efficiency and shaping operations for the future.<ept i='1'>{}</ept></seg>,<seg><bpt i='1' type='italic'>{}</bpt><it pos='begin'>&lt;rpr id=&quot;0&quot;&gt;</it>Source:<ept i='1'>{}</ept></seg>
402,<bpt i='1' type='bold'>{}</bpt>Translation in the AV Industry:<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>La traducción en el sector audiovisual:<ept i='1'>{}</ept>,es,,<seg><bpt i='1' type='bold'>{}</bpt>Five key points to have a successful experience<ept i='1'>{}</ept></seg>
403,<bpt i='1' type='bold'>{}</bpt>Five key points to have a successful experience<ept i='1'>{}</ept>,en,<bpt i='1' type='bold'>{}</bpt>Cinco puntos clave para tener una experiencia satisfactoria<ept i='1'>{}</ept>,es,<seg><bpt i='1' type='bold'>{}</bpt>Translation in the AV Industry:<ept i='1'>{}</ept></seg>,<seg>You are an AV professional from a marketing or sales department and you have been assigned an important task: to have your company’s content translated into several languages.</seg>
404,You are an AV professional from a marketing or sales department and you have been assigned an important task: to have your company’s content translated into several languages.,en,Usted es un profesional del sector audiovisual en un departamento de marketing o ventas y le han asignado una tarea importante: encargarse de que se traduzca el contenido de su empresa a varios idiomas.,es,<seg><bpt i='1' type='bold'>{}</bpt>Five key points to have a successful experience<ept i='1'>{}</ept></seg>,"<seg>All of a sudden, all these questions flood in to your mind:</seg>"
405,"All of a sudden, all these questions flood in to your mind:",en,"De repente, todas estas preguntas le pasan por la cabeza:",es,<seg>You are an AV professional from a marketing or sales department and you have been assigned an important task: to have your company’s content translated into several languages.</seg>,<seg>What to translate?</seg>
406,What to translate?,en,¿Qué traducir?,es,"<seg>All of a sudden, all these questions flood in to your mind:</seg>",<seg>Should everything be translated or just some parts?</seg>
407,Should everything be translated or just some parts?,en,¿Se debería traducir todo el texto o solo algunas partes?,es,<seg>What to translate?</seg>,<seg>Will a professional translator know enough about the AV industry?</seg>
408,Will a professional translator know enough about the AV industry?,en,¿Un traductor profesional tendrá conocimientos suficientes sobre el sector audiovisual?,es,<seg>Should everything be translated or just some parts?</seg>,"<seg>What if, for a translator, a color bump is a game app and ISE stands for Irish Stock Exchange?</seg>"
409,"What if, for a translator, a color bump is a game app and ISE stands for Irish Stock Exchange?",en,"¿Qué pasa si, para un traductor, un <bpt i='1' type='italic'>{}</bpt>color bump<ept i='1'>{}</ept> es una aplicación para jugar o si ISE significa <bpt i='2' type='italic'>{}</bpt>Irish Stock Exchange<ept i='2'>{}</ept>?",es,<seg>Will a professional translator know enough about the AV industry?</seg>,<seg>Fear not.</seg>
410,Fear not.,en,No se preocupe.,es,"<seg>What if, for a translator, a color bump is a game app and ISE stands for Irish Stock Exchange?</seg>",<seg>Here are some key points to guide this assignment towards success.</seg>
